step,max_abs,mean_abs,rms,cosine
0,0.0,0.0,0.0,0.9999998807907104
1,0.015625,0.000811360776424408,0.0019270919729024172,0.9999979734420776
2,0.015625,0.0018815025687217712,0.003180825849995017,0.9999936819076538
3,0.015625,0.0021977126598358154,0.003507730085402727,0.999991238117218
4,0.01953125,0.0025102049112319946,0.0038393910508602858,0.9999878406524658
5,0.03125,0.002751953899860382,0.004229805897921324,0.9999833703041077
6,0.03515625,0.003093831241130829,0.004666685126721859,0.9999769926071167
7,0.037109375,0.003452681005001068,0.0050400299951434135,0.999970555305481
8,0.06640625,0.004081137478351593,0.006286391522735357,0.9999516606330872
9,0.0625,0.0044686272740364075,0.006641945336014032,0.999947190284729
10,0.1162109375,0.005093961954116821,0.008032296784222126,0.9999298453330994
11,0.11328125,0.005625642836093903,0.008466576226055622,0.9999343752861023
12,0.265625,0.008523024618625641,0.014787107706069946,0.9998422861099243
