image_id,provenance,candidate_source_affinity,source_candidate_affinity,candidate_full_affinity,full_candidate_affinity,source_affinity,full_affinity,candidate_first_margin,reference_first_margin,raw_margin,order_bias,relative_coordinate
source,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.9745638370513916,-1.9745638370513916,-1.8140316009521484,-1.867423176765442,-1.9745638370513916,-1.8407273292541504,0.16053223609924316,0.10714066028594971,0.1338365077972412,0.02669578790664673,-0.0
oracle_0.2,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.9017645120620728,-1.880939245223999,-1.9028337001800537,-1.9120440483093262,-1.8913519382476807,-1.90743887424469,-0.001069188117980957,-0.03110480308532715,-0.016086935997009277,0.015017807483673096,0.8872096538543701
oracle_0.5,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.8917791843414307,-1.8732343912124634,-1.9036287069320679,-1.9001357555389404,-1.8825068473815918,-1.9018821716308594,-0.011849522590637207,-0.02690136432647705,-0.019375324249267578,0.007525920867919922,0.906669557094574
oracle_0.8,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.8772863149642944,-1.8184001445770264,-1.8778562545776367,-1.8761615753173828,-1.8478431701660156,-1.8770089149475098,-0.0005699396133422852,-0.057761430740356445,-0.02916574478149414,0.02859574556350708,0.9646068215370178
native_full,MODEL_GENERATED_OR_ENDPOINT_INPUT,-1.867423176765442,-1.8140316009521484,-1.8758739233016968,-1.8758739233016968,-1.8407273292541504,-1.8758739233016968,-0.008450746536254883,-0.06184232234954834,-0.03514659404754639,0.02669578790664673,1.0
pixel_0,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.9745638370513916,-1.9745638370513916,-1.8140316009521484,-1.867423176765442,-1.9745638370513916,-1.8407273292541504,0.16053223609924316,0.10714066028594971,0.1338365077972412,0.02669578790664673,-0.0
pixel_0.2,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.9334282875061035,-1.9287543296813965,-1.9068634510040283,-1.9185467958450317,-1.93109130859375,-1.9127051830291748,0.026564836502075195,0.010207533836364746,0.018386125564575195,0.008178651332855225,0.6832066774368286
pixel_0.4,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.906211495399475,-1.865608811378479,-1.9181660413742065,-1.9108864068984985,-1.885910153388977,-1.9145262241363525,-0.011954545974731445,-0.04527759552001953,-0.02861607074737549,0.016661524772644043,0.9613539576530457
pixel_0.5,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.8798227310180664,-1.8513710498809814,-1.8860515356063843,-1.9039236307144165,-1.865596890449524,-1.8949875831604004,-0.006228804588317871,-0.05255258083343506,-0.029390692710876465,0.023161888122558594,0.9659380316734314
pixel_0.6,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.8574172258377075,-1.8383893966674805,-1.8559045791625977,-1.8778409957885742,-1.8479032516479492,-1.866872787475586,0.0015126466751098633,-0.03945159912109375,-0.01896953582763672,0.020482122898101807,0.904268205165863
pixel_0.8,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.8725366592407227,-1.8245736360549927,-1.875475287437439,-1.881508231163025,-1.848555088043213,-1.878491759300232,-0.0029386281967163086,-0.05693459510803223,-0.029936671257019043,0.02699798345565796,0.9691689610481262
pixel_1,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-1.867423176765442,-1.8140316009521484,-1.8758739233016968,-1.8758739233016968,-1.8407273292541504,-1.8758739233016968,-0.008450746536254883,-0.06184232234954834,-0.03514659404754639,0.02669578790664673,1.0
