image_id,provenance,forward_1_margin,forward_2_margin,symmetrized_margin,order_bias
source,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.125,0.0,-0.0625,-0.0625
oracle_0.2,MODEL_GENERATED_OR_ENDPOINT_INPUT,-0.125,0.125,0.0,-0.125
oracle_0.5,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.0,0.0,0.0,0.0
oracle_0.8,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.125,0.0,0.0625,0.0625
native_full,MODEL_GENERATED_OR_ENDPOINT_INPUT,0.0,0.125,0.0625,-0.0625
pixel_0,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.125,0.0,-0.0625,-0.0625
pixel_0.2,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.125,0.125,0.125,0.0
pixel_0.4,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.0,0.125,0.0625,-0.0625
pixel_0.5,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.0,0.0,0.0,0.0
pixel_0.6,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,-0.125,0.0,-0.0625,-0.0625
pixel_0.8,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.0,0.125,0.0625,-0.0625
pixel_1,PIXEL_BLEND_DIAGNOSTIC_NOT_MODEL_GENERATED_OUTPUT,0.0,0.125,0.0625,-0.0625
