method,location,primitive_id,question_id,top_choice,top_stage,normalized_entropy,raw_ordinal_expectation,endpoint_calibrated_progress_raw,progress_clamped,logprob_A,prob_A,logprob_B,prob_B,logprob_C,prob_C,logprob_D,prob_D,logprob_E,prob_E
ordinal-single,source,ball_color,dominant_color_state,A,0,0.8155313730239868,0.2743053138256073,0.0,0.0,,0.38735729455947876,,0.38735729455947876,,0.052423108369112015,,0.0864311009645462,,0.0864311009645462
ordinal-single,full,ball_color,dominant_color_state,D,3,0.68855881690979,0.7845667600631714,1.0,1.0,,0.029539676383137703,,0.08029715716838837,,0.02030230313539505,,0.4620782732963562,,0.407782644033432
ordinal-single,probe_alpha_0,ball_color,dominant_color_state,A,0,0.8155313730239868,0.2743053138256073,0.0,0.0,-0.9493305683135986,0.38735729455947876,-0.9493305683135986,0.38735729455947876,-2.9493305683135986,0.052423108369112015,-2.4493305683135986,0.0864311009645462,-2.4493305683135986,0.0864311009645462
ordinal-single,probe_alpha_0.2,ball_color,dominant_color_state,D,3,0.8129971623420715,0.6709338426589966,0.7773045897483826,0.7773045897483826,-2.8031973838806152,0.060656704008579254,-1.6781973838806152,0.18683581054210663,-3.4281973838806152,0.03246719390153885,-0.80319744348526,0.44819578528404236,-1.3031973838806152,0.2718445062637329
ordinal-single,probe_alpha_0.4,ball_color,dominant_color_state,D,3,0.6925768256187439,0.7638998031616211,0.9594973921775818,0.9594973921775818,-3.4255313873291016,0.032553717494010925,-2.4255313873291016,0.08849018067121506,-3.9255313873291016,0.01974482834339142,-0.6755313873291016,0.5092258453369141,-1.0505313873291016,0.3499854803085327
ordinal-single,probe_alpha_0.5,ball_color,dominant_color_state,D,3,0.6701407432556152,0.7931437492370605,1.0168089866638184,1.0,-3.632230758666992,0.026473497971892357,-2.632230758666992,0.07196243107318878,-4.007230758666992,0.018194949254393578,-0.7572308778762817,0.4692539572715759,-0.8822308778762817,0.41411516070365906
ordinal-single,probe_alpha_0.6,ball_color,dominant_color_state,D,3,0.6616097092628479,0.7977756261825562,1.0258864164352417,1.0,-3.623744010925293,0.026699261739850044,-2.748744010925293,0.06404819339513779,-3.998744010925293,0.018350115045905113,-0.7487440705299377,0.4732557237148285,-0.8737440705299377,0.41764670610427856
ordinal-single,probe_alpha_0.8,ball_color,dominant_color_state,D,3,0.6955447793006897,0.7712181806564331,0.9738397598266602,0.9738397598266602,-3.350198984146118,0.03510037809610367,-2.475198984146118,0.08420141786336899,-3.975198984146118,0.01878787763416767,-0.7251990437507629,0.4845457375049591,-0.9751990437507629,0.3773646056652069
ordinal-single,probe_alpha_1,ball_color,dominant_color_state,D,3,0.7031230926513672,0.7758924961090088,0.9830003380775452,0.9830003380775452,-3.4122281074523926,0.03299036622047424,-2.4122281074523926,0.0896771028637886,-3.9122281074523926,0.020009668543934822,-0.7872281074523926,0.4554179310798645,-0.9122281074523926,0.4019049108028412
ordinal-single,oracle_0.2,ball_color,dominant_color_state,D,3,0.7275062203407288,0.7700358629226685,0.9715226888656616,0.9715226888656616,-3.372507095336914,0.03432593122124672,-2.247507095336914,0.10573132336139679,-3.747507095336914,0.023591846227645874,-0.8725072145462036,0.41817545890808105,-0.8725072145462036,0.41817545890808105
ordinal-single,oracle_0.5,ball_color,dominant_color_state,D,3,0.6541404724121094,0.8084286451339722,1.0467640161514282,1.0,-3.6778993606567383,0.025292756035923958,-2.8028993606567383,0.060674164444208145,-4.052899360656738,0.01738343946635723,-0.8028992414474487,0.4483247995376587,-0.8028992414474487,0.4483247995376587
ordinal-single,oracle_0.8,ball_color,dominant_color_state,D,3,0.6832062005996704,0.7872995138168335,1.0053555965423584,1.0,-3.6442155838012695,0.02615947276353836,-2.5192155838012695,0.08057685196399689,-3.8942155838012695,0.020373016595840454,-0.7692157030105591,0.4636877179145813,-0.8942157030105591,0.4092029631137848
ordinal-ensemble,source,ball_color,dominant_color_state,A,0,0.8155313730239868,0.2743053138256073,0.0,0.0,,0.38735729455947876,,0.38735729455947876,,0.052423108369112015,,0.0864311009645462,,0.0864311009645462
ordinal-ensemble,full,ball_color,dominant_color_state,D,3,0.68855881690979,0.7845667600631714,1.0,1.0,,0.029539676383137703,,0.08029715716838837,,0.02030230313539505,,0.4620782732963562,,0.407782644033432
ordinal-ensemble,source,ball_color,remaining_original_dark_evidence,E,4,0.7954519391059875,0.7052050828933716,0.0,0.0,,0.13206683099269867,,0.1165485680103302,,0.010840708389878273,,0.27958545088768005,,0.4609585106372833
ordinal-ensemble,full,ball_color,remaining_original_dark_evidence,D,3,0.5505114197731018,0.8083962202072144,1.0,1.0,,0.02014998532831669,,0.029318055137991905,,0.00449606915935874,,0.5888688564300537,,0.35716700553894043
ordinal-ensemble,source,ball_color,established_target_blue_evidence,A,0,0.9126919507980347,0.4508076310157776,0.0,0.0,,0.3467070758342743,,0.14452899992465973,,0.05316925793886185,,0.27001574635505676,,0.18557892739772797
ordinal-ensemble,full,ball_color,established_target_blue_evidence,E,4,0.5479353666305542,0.884550154209137,1.0,1.0,,0.023736508563160896,,0.026896988973021507,,0.030478281900286674,,0.22520573437213898,,0.6936824917793274
ordinal-ensemble,probe_alpha_0,ball_color,dominant_color_state,A,0,0.8155313730239868,0.2743053138256073,0.0,0.0,-0.9493305683135986,0.38735729455947876,-0.9493305683135986,0.38735729455947876,-2.9493305683135986,0.052423108369112015,-2.4493305683135986,0.0864311009645462,-2.4493305683135986,0.0864311009645462
ordinal-ensemble,probe_alpha_0,ball_color,remaining_original_dark_evidence,E,4,0.7954519391059875,0.7052050828933716,0.0,0.0,-2.025158643722534,0.13206683099269867,-2.150158643722534,0.1165485680103302,-4.525158405303955,0.010840708389878273,-1.2751586437225342,0.27958545088768005,-0.7751585841178894,0.4609585106372833
ordinal-ensemble,probe_alpha_0,ball_color,established_target_blue_evidence,A,0,0.9126919507980347,0.4508076310157776,0.0,0.0,-1.05998957157135,0.3467070758342743,-1.93498957157135,0.14452899992465973,-2.9349894523620605,0.05316925793886185,-1.30998957157135,0.27001574635505676,-1.68498957157135,0.18557892739772797
ordinal-ensemble,probe_alpha_0.2,ball_color,dominant_color_state,D,3,0.8129971623420715,0.6709338426589966,0.7773045897483826,0.7773045897483826,-2.8031973838806152,0.060656704008579254,-1.6781973838806152,0.18683581054210663,-3.4281973838806152,0.03246719390153885,-0.80319744348526,0.44819578528404236,-1.3031973838806152,0.2718445062637329
ordinal-ensemble,probe_alpha_0.2,ball_color,remaining_original_dark_evidence,D,3,0.6126587390899658,0.7839748859405518,0.7633388638496399,0.7633388638496399,-3.444789409637451,0.03192637115716934,-2.944789409637451,0.05263768136501312,-5.069789409637451,0.006286675576120615,-0.5697894096374512,0.5659084320068359,-1.0697894096374512,0.3432408273220062
ordinal-ensemble,probe_alpha_0.2,ball_color,established_target_blue_evidence,E,4,0.6311120986938477,0.8487863540649414,0.9175460338592529,0.9175460338592529,-3.5342907905578613,0.029193904250860214,-3.4092907905578613,0.03308102861046791,-3.2842907905578613,0.03748571500182152,-1.1592907905578613,0.3138640522956848,-0.5342907905578613,0.5863752365112305
ordinal-ensemble,probe_alpha_0.4,ball_color,dominant_color_state,D,3,0.6925768256187439,0.7638998031616211,0.9594973921775818,0.9594973921775818,-3.4255313873291016,0.032553717494010925,-2.4255313873291016,0.08849018067121506,-3.9255313873291016,0.01974482834339142,-0.6755313873291016,0.5092258453369141,-1.0505313873291016,0.3499854803085327
ordinal-ensemble,probe_alpha_0.4,ball_color,remaining_original_dark_evidence,D,3,0.5699141621589661,0.8014732599258423,0.9329112768173218,0.9329112768173218,-3.791533946990967,0.022570908069610596,-3.291533946990967,0.03721313551068306,-5.291533946990967,0.005036250222474337,-0.541533887386322,0.5821113586425781,-1.0415339469909668,0.35306838154792786
ordinal-ensemble,probe_alpha_0.4,ball_color,established_target_blue_evidence,E,4,0.6463984847068787,0.840694010257721,0.8988890051841736,0.8988890051841736,-3.5842220783233643,0.027772339060902596,-3.3342220783233643,0.03566038981080055,-3.2092220783233643,0.04040851816534996,-1.0842220783233643,0.33833637833595276,-0.5842220783233643,0.5578223466873169
ordinal-ensemble,probe_alpha_0.5,ball_color,dominant_color_state,D,3,0.6701407432556152,0.7931437492370605,1.0168089866638184,1.0,-3.632230758666992,0.026473497971892357,-2.632230758666992,0.07196243107318878,-4.007230758666992,0.018194949254393578,-0.7572308778762817,0.4692539572715759,-0.8822308778762817,0.41411516070365906
ordinal-ensemble,probe_alpha_0.5,ball_color,remaining_original_dark_evidence,D,3,0.5855304598808289,0.8146078586578369,1.0601954460144043,1.0,-3.769942283630371,0.023064235225319862,-3.269942283630371,0.03802649676799774,-5.269942283630371,0.0051463269628584385,-0.6449423432350159,0.5249395966529846,-0.8949423432350159,0.4088233709335327
ordinal-ensemble,probe_alpha_0.5,ball_color,established_target_blue_evidence,E,4,0.5966820120811462,0.8639736771583557,0.9525606036186218,0.9525606036186218,-3.727146625518799,0.024072669446468353,-3.477146625518799,0.030909918248653412,-3.477146625518799,0.030909918248653412,-1.2271466255187988,0.29326513409614563,-0.47714656591415405,0.6208423376083374
