case_id,image_id,source_answer_score,target_answer_score,preferred_endpoint_state,used_for_continuous_geometry,used_for_endpoint_semantic_validation,diagnostic_only
ball_color_seed_20260914,source,-1.2359181642532349,-2.3713958263397217,source,False,True,False
ball_color_seed_20260914,oracle_0.2,-2.3663837909698486,-1.234744668006897,target,False,False,True
ball_color_seed_20260914,oracle_0.5,-2.7229859828948975,-1.296112298965454,target,False,False,True
ball_color_seed_20260914,oracle_0.8,-2.914231538772583,-1.4132542610168457,target,False,False,True
ball_color_seed_20260914,full,-2.7812299728393555,-1.4192131757736206,target,False,True,False
ball_color_seed_20260915,source,-1.2359181642532349,-2.3713958263397217,source,False,True,False
ball_color_seed_20260915,oracle_0.2,-2.633765697479248,-1.3327877521514893,target,False,False,True
ball_color_seed_20260915,oracle_0.5,-2.7719147205352783,-1.388231635093689,target,False,False,True
ball_color_seed_20260915,oracle_0.8,-2.9235646724700928,-1.3868869543075562,target,False,False,True
ball_color_seed_20260915,full,-2.8685529232025146,-1.4540729522705078,target,False,True,False
ball_color_seed_20260916,source,-1.2359181642532349,-2.3713958263397217,source,False,True,False
ball_color_seed_20260916,oracle_0.2,-2.6245648860931396,-1.3273426294326782,target,False,False,True
ball_color_seed_20260916,oracle_0.5,-2.6845757961273193,-1.3056162595748901,target,False,False,True
ball_color_seed_20260916,oracle_0.8,-2.8373138904571533,-1.3125265836715698,target,False,False,True
ball_color_seed_20260916,full,-2.846794843673706,-1.3938006162643433,target,False,True,False
scene_reimagination_seed_20260914,source,-3.2097434997558594,-3.8996834754943848,source,False,True,False
scene_reimagination_seed_20260914,oracle_0.2,-4.622738838195801,-3.169447898864746,target,False,False,True
scene_reimagination_seed_20260914,oracle_0.5,-4.459889888763428,-2.9615254402160645,target,False,False,True
scene_reimagination_seed_20260914,oracle_0.8,-4.278701305389404,-3.0095841884613037,target,False,False,True
scene_reimagination_seed_20260914,full,-4.6515984535217285,-2.9796788692474365,target,False,True,False
environment_night_seed_20260914,source,-3.851390838623047,-5.128056049346924,source,False,True,False
environment_night_seed_20260914,oracle_0.2,-5.716711521148682,-3.0131306648254395,target,False,False,True
environment_night_seed_20260914,oracle_0.5,-5.764686584472656,-3.1612842082977295,target,False,False,True
environment_night_seed_20260914,oracle_0.8,-5.558640480041504,-2.9516453742980957,target,False,False,True
environment_night_seed_20260914,full,-5.71082067489624,-3.112332820892334,target,False,True,False
