encoder,case_id,primitive_id,image_id,provenance,source_similarity,target_similarity,semantic_margin,progress,endpoint_dynamic_range,text_axis_norm,image_delta_text_alignment,orthogonal_ratio
clip,ball_color_seed_20260914,weighted_training_ball_color,source,SOURCE INPUT,0.237641379237175,0.19576022028923035,-0.04188115894794464,0.0,0.08701740205287933,0.5048668384552002,0.0,0.0
clip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.22719895839691162,0.26207107305526733,0.03487211465835571,0.8820450305938721,0.08701740205287933,0.5048668384552002,0.2631201148033142,0.9647631049156189
clip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2280919998884201,0.26933592557907104,0.04124392569065094,0.9552695751190186,0.08701740205287933,0.5048668384552002,0.2777591943740845,0.9606507420539856
clip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2237178534269333,0.2669169306755066,0.0431990772485733,0.977738082408905,0.08701740205287933,0.5048668384552002,0.2777615487575531,0.9606500267982483
clip,ball_color_seed_20260914,weighted_training_ball_color,full,MODEL-GENERATED NATIVE FULL,0.22287338972091675,0.26800963282585144,0.04513624310493469,0.9999999403953552,0.08701740205287933,0.5048668384552002,0.2703234851360321,0.9627695679664612
clip,ball_color_seed_20260915,ball_color,source,SOURCE INPUT,0.24524226784706116,0.215449720621109,-0.02979254722595215,0.0,0.07869952917098999,0.4423956274986267,0.0,0.0
clip,ball_color_seed_20260915,ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2297419309616089,0.27108126878738403,0.041339337825775146,0.9038411974906921,0.07869952917098999,0.4423956274986267,0.27561482787132263,0.9612681865692139
clip,ball_color_seed_20260915,ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.22765175998210907,0.2744203805923462,0.04676862061023712,0.9728286862373352,0.07869952917098999,0.4423956274986267,0.2825217545032501,0.9592608213424683
clip,ball_color_seed_20260915,ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.22482119500637054,0.27295395731925964,0.0481327623128891,0.9901622533798218,0.07869952917098999,0.4423956274986267,0.2867951989173889,0.9579918384552002
clip,ball_color_seed_20260915,ball_color,full,MODEL-GENERATED NATIVE FULL,0.21654492616653442,0.26545190811157227,0.04890698194503784,0.9999998807907104,0.07869952917098999,0.4423956274986267,0.2765100598335266,0.9610110521316528
clip,ball_color_seed_20260916,weighted_training_ball_color,source,SOURCE INPUT,0.24885079264640808,0.19778437912464142,-0.05106641352176666,0.0,0.10452570021152496,0.5773230195045471,0.0,0.0
clip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.23882168531417847,0.27824270725250244,0.039421021938323975,0.8656955361366272,0.10452570021152496,0.5773230195045471,0.3008197844028473,0.9536810517311096
clip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.23357707262039185,0.27977216243743896,0.04619508981704712,0.9305031895637512,0.10452570021152496,0.5773230195045471,0.3041478395462036,0.9526247978210449
clip,ball_color_seed_20260916,weighted_training_ball_color,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2335502803325653,0.28492558002471924,0.05137529969215393,0.9800623655319214,0.10452570021152496,0.5773230195045471,0.2854151427745819,0.958404004573822
clip,ball_color_seed_20260916,weighted_training_ball_color,full,MODEL-GENERATED NATIVE FULL,0.22837844491004944,0.28183773159980774,0.0534592866897583,0.9999999403953552,0.10452570021152496,0.5773230195045471,0.2886843979358673,0.9574242830276489
clip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,source,SOURCE INPUT,0.29622742533683777,0.18528828024864197,-0.1109391450881958,0.0,0.12732744216918945,0.8401839733123779,0.0,0.0
clip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.25884708762168884,0.2550537884235382,-0.0037932991981506348,0.8414983749389648,0.12732744216918945,0.8401839733123779,0.1748266965150833,0.984599232673645
clip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2697819471359253,0.24314674735069275,-0.026635199785232544,0.6621034145355225,0.12732744216918945,0.8401839733123779,0.14189189672470093,0.9898821711540222
clip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.2538142204284668,0.2562597692012787,0.0024455487728118896,0.8904967904090881,0.12732744216918945,0.8401839733123779,0.18831346929073334,0.9821089506149292
clip,scene_reimagination_seed_20260914,scene_environment_beach_to_minimalist_room,full,MODEL-GENERATED NATIVE FULL,0.24496564269065857,0.2613539397716522,0.016388297080993652,0.9999998807907104,0.12732744216918945,0.8401839733123779,0.2109622210264206,0.9774942994117737
clip,environment_night_seed_20260914,scene_weather_time,source,SOURCE INPUT,0.1639871895313263,0.09097108244895935,-0.07301610708236694,0.0,0.148164764046669,0.801800012588501,0.0,0.0
clip,environment_night_seed_20260914,scene_weather_time,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.09819988906383514,0.2278764396905899,0.12967655062675476,1.368021845817566,0.148164764046669,0.801800012588501,0.29956474900245667,0.9540759921073914
clip,environment_night_seed_20260914,scene_weather_time,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10015217959880829,0.21910759806632996,0.11895541846752167,1.2956624031066895,0.148164764046669,0.801800012588501,0.2966495752334595,0.9549864530563354
clip,environment_night_seed_20260914,scene_weather_time,oracle_0.8,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10770533978939056,0.1990882158279419,0.09138287603855133,1.1095685958862305,0.148164764046669,0.801800012588501,0.2438300997018814,0.9698179364204407
clip,environment_night_seed_20260914,scene_weather_time,full,MODEL-GENERATED NATIVE FULL,0.11388961970806122,0.18903827667236328,0.07514865696430206,0.9999998807907104,0.148164764046669,0.801800012588501,0.1834683120250702,0.9830256700515747
siglip,ball_color_seed_20260914,weighted_training_ball_color,source,SOURCE INPUT,0.163644939661026,0.11426891386508942,-0.049376025795936584,0.0,0.11465666443109512,0.5341532826423645,0.0,0.0
siglip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.2,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.10207246243953705,0.15482079982757568,0.052748337388038635,0.8906970620155334,0.11465666443109512,0.5341532826423645,0.3862324059009552,0.9224014282226562
siglip,ball_color_seed_20260914,weighted_training_ball_color,oracle_0.5,MODEL-GENERATED PIXEL-ORACLE DIAGNOSTIC,0.100182443857193,0.16153395175933838,0.061351507902145386,0.9657312631607056,0.11465666443109512,0.5341532826423645,0.41137707233428955,0.9114652276039124
