encoder,case_id,v6_p_0.2,v6_p_0.5,v6_p_0.8,v6_ordered,v7_p_0.2,v7_p_0.5,v7_p_0.8,v7_ordered,known_v6_inversion,known_inversion_fixed
clip,ball_color_seed_20260914,0.8494728207588196,0.8826477527618408,0.8946577310562134,True,0.8820450305938721,0.9552695751190186,0.977738082408905,True,False,False
clip,ball_color_seed_20260915,0.8692381978034973,0.8992934226989746,0.932720422744751,True,0.9038411974906921,0.9728286862373352,0.9901622533798218,True,False,False
clip,ball_color_seed_20260916,0.7286977171897888,0.7947335243225098,0.9593793153762817,True,0.8656955361366272,0.9305031895637512,0.9800623655319214,True,False,False
clip,scene_reimagination_seed_20260914,0.8164423704147339,0.8608222007751465,0.9220984578132629,True,0.8414983749389648,0.6621034145355225,0.8904967904090881,False,False,False
clip,environment_night_seed_20260914,0.5905179381370544,0.5764395594596863,0.7327679991722107,False,1.368021845817566,1.2956624031066895,1.1095685958862305,False,True,False
siglip,ball_color_seed_20260914,0.7599626779556274,0.8277897834777832,0.9232953190803528,True,0.8906970620155334,0.9657312631607056,0.9701070189476013,True,False,False
siglip,ball_color_seed_20260915,0.8632460832595825,0.8524072170257568,0.9681588411331177,False,0.8926684856414795,0.9610294699668884,0.9761818051338196,True,True,True
siglip,ball_color_seed_20260916,0.6976996064186096,0.7319989800453186,0.8748298287391663,True,0.8988662362098694,0.912377119064331,0.9682480692863464,True,False,False
siglip,scene_reimagination_seed_20260914,0.819403350353241,0.8931644558906555,0.9339276552200317,True,1.0486938953399658,0.8288145065307617,0.9488464593887329,False,False,False
siglip,environment_night_seed_20260914,0.9160636067390442,0.9109155535697937,0.9605305194854736,False,1.00203537940979,1.0137667655944824,0.9618262648582458,False,True,True
